evidence_layer,dataset_or_system,comparison,module_direction,leave_one_min,leave_one_max,support_level,boundary,source_file
external model-system perturbation/induction,GSE282859 primary human RPE EMT,core_25,0.807396875901554,,,model_system_directional_support,paired induction model; not PVR-specific and not treatment validation,public_database_upgrade_exploration\results\gse282859_paired_emt_validation\paired_module_effects.csv
external model-system perturbation/induction,GSE282859 primary human RPE EMT,core_25,-0.117335578907063,,,model_system_directional_support,paired induction model; not PVR-specific and not treatment validation,public_database_upgrade_exploration\results\gse282859_paired_emt_validation\paired_module_effects.csv
external model-system perturbation/induction,GSE282859 primary human RPE EMT,generic_fibrosis,0.698425681101242,,,model_system_directional_support,paired induction model; not PVR-specific and not treatment validation,public_database_upgrade_exploration\results\gse282859_paired_emt_validation\paired_module_effects.csv
external model-system perturbation/induction,GSE282859 primary human RPE EMT,generic_fibrosis,1.30571205709869,,,model_system_directional_support,paired induction model; not PVR-specific and not treatment validation,public_database_upgrade_exploration\results\gse282859_paired_emt_validation\paired_module_effects.csv
external model-system perturbation/induction,GSE282859 primary human RPE EMT,generic_fibrosis,0.580246912593077,,,model_system_directional_support,paired induction model; not PVR-specific and not treatment validation,public_database_upgrade_exploration\results\gse282859_paired_emt_validation\paired_module_effects.csv
external model-system perturbation/induction,GSE282859 primary human RPE EMT,generic_nonoverlap,0.835526996284775,,,model_system_directional_support,paired induction model; not PVR-specific and not treatment validation,public_database_upgrade_exploration\results\gse282859_paired_emt_validation\paired_module_effects.csv
external model-system perturbation/induction,GSE282859 primary human RPE EMT,generic_nonoverlap,1.47257386058037,,,model_system_directional_support,paired induction model; not PVR-specific and not treatment validation,public_database_upgrade_exploration\results\gse282859_paired_emt_validation\paired_module_effects.csv
external model-system perturbation/induction,GSE282859 primary human RPE EMT,generic_nonoverlap,0.783724878811466,,,model_system_directional_support,paired induction model; not PVR-specific and not treatment validation,public_database_upgrade_exploration\results\gse282859_paired_emt_validation\paired_module_effects.csv
external model-system perturbation/induction,GSE244812 multimodal RPE model,core_25,1.37764425429281,,,model_system_directional_support,small paired model; use as directional support only,public_database_upgrade_exploration\results\gse244812_multimodal_validation\module_paired_effects.csv
external model-system perturbation/induction,GSE244812 multimodal RPE model,generic_fibrosis,1.43635056619653,,,model_system_directional_support,small paired model; use as directional support only,public_database_upgrade_exploration\results\gse244812_multimodal_validation\module_paired_effects.csv
external model-system perturbation/induction,GSE244812 multimodal RPE model,transparent_candidates,1.21926830242432,,,model_system_directional_support,small paired model; use as directional support only,public_database_upgrade_exploration\results\gse244812_multimodal_validation\module_paired_effects.csv
external model-system perturbation/induction,GSE244812 multimodal RPE model,core_25,-0.0890676927318499,,,model_system_directional_support,small paired model; use as directional support only,public_database_upgrade_exploration\results\gse244812_multimodal_validation\module_paired_effects.csv
external model-system perturbation/induction,GSE244812 multimodal RPE model,generic_fibrosis,0.0516087203899103,,,model_system_directional_support,small paired model; use as directional support only,public_database_upgrade_exploration\results\gse244812_multimodal_validation\module_paired_effects.csv
external model-system perturbation/induction,GSE244812 multimodal RPE model,transparent_candidates,-0.0642603898414942,,,model_system_directional_support,small paired model; use as directional support only,public_database_upgrade_exploration\results\gse244812_multimodal_validation\module_paired_effects.csv
external model-system perturbation/induction,GSE244812 multimodal RPE model,core_25,0.38916763693379,,,model_system_directional_support,small paired model; use as directional support only,public_database_upgrade_exploration\results\gse244812_multimodal_validation\module_paired_effects.csv
external model-system perturbation/induction,GSE244812 multimodal RPE model,generic_fibrosis,0.299521621335555,,,model_system_directional_support,small paired model; use as directional support only,public_database_upgrade_exploration\results\gse244812_multimodal_validation\module_paired_effects.csv
external model-system perturbation/induction,GSE244812 multimodal RPE model,transparent_candidates,0.0529921217652785,,,model_system_directional_support,small paired model; use as directional support only,public_database_upgrade_exploration\results\gse244812_multimodal_validation\module_paired_effects.csv
